Table:A.1
================================================================================
Byte-by-byte Description of file: table.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
 1- 8  A8     0.1nm  Wav      Vacuum Wavelength
10-39  A30    ---    Name     Line Name
41-53  A13    ---    CloudyID Cloudy Line ID
55-57  F3.1   ---    Flag     Line Strength (1)
--------------------------------------------------------------------------------
Note (1): Flag indicating classification according to line strength. Flag as follows:
  0 = line with ionization potential < 54 eV (no flag for line strength)
  1 = strong line significantly enhanced by the addition of the SXP
  2 = strong line not significantly enhanced by the addition of the SXP
  3 = weak line significantly enhanced by the addition of SXP
  4 = weak line (or line with zero flux) not significantly enhanced by the addition of SXP
Only lines with ionization potentials > 54 eV are marked with flags 1-4. Criteria for strength (strong versus weak) is determined relative to H_beta or Pa_beta, and criteria for enhancement (significantly versus not significantly) is determined relative to SSP-only photoionization models, as described in Section 5.1 of Garofali et al. 2023.
--------------------------------------------------------------------------------
917.473  O I 917.473                    O  1 917.473A 0
917.726  O I 917.726                    O  1 917.726A 0
917.970  O I 917.97                     O  1 917.970A 0
918.147  P III 918.147                  P  3 918.147A 0
918.493  Ar I 918.493                   Ar 1 918.493A 0
918.704  O I 918.704                    O  1 918.704A 0
919.912  O I 919.912                    O  1 919.912A 0
920.243  O I 920.243                    O  1 920.243A 0
920.963  H I 920.963                    H  1 920.963A 0
922.509  Ar I 922.509                   Ar 1 922.509A 0
922.969  O I 922.969                    O  1 922.969A 0
923.150  H I (Ly-8) 923.15              H  1 923.150A 0
923.438  O I 923.438                    O  1 923.438A 0
924.009  Cr III 924.009                 Cr 3 924.009A 0
926.226  H I (Ly-7) 926.226             H  1 926.226A 0
927.472  O I 927.472                    O  1 927.472A 0
928.186  O I 928.186                    O  1 928.186A 0
929.014  Al II 929.014                  Al 2 929.014A 0
930.748  H I (Ly-6) 930.748             H  1 930.748A 0
934.501  O I 934.501                    O  1 934.501A 0
935.672  O I 935.672                    O  1 935.672A 0
937.804  H I (Ly-5) 937.804             H  1 937.804A 0
942.258  N I 942.258                    N  1 942.258A 0
943.939  C I 943.939                    C  1 943.939A 0
946.100  C II 946.1                     C  2 946.100A 0
946.387  O I 946.387                    O  1 946.387A 0
948.506  O I 948.506                    O  1 948.506A 0
949.743  H I (Ly-$\delta$) 949.743      H  1 949.743A 0
950.661  P IV 950.661                   P  4 950.661A 0
952.118  N I 952.118                    N  1 952.118A 0
953.970  N I 953.97                     N  1 953.970A 0
954.104  N I 954.104                    N  1 954.104A 0
959.306  Mg II 959.306                  Mg 2 959.306A 0
963.828  P II 963.828                   P  2 963.828A 0
967.202  P II 967.202                   P  2 967.202A 0
969.049  O I 969.049                    O  1 969.049A 0
972.537  H I (Ly-$\gamma$) 972.537      H  1 972.537A 0
973.577  O I 973.577                    O  1 973.577A 0
976.791  O I 976.791                    O  1 976.791A 0
977.000  C III 977.                     C  3 977.000A 0
980.700  N I 980.7                      N  1 980.700A 0
981.258  Cl IV 981.258                  Cl 4 981.258A 0
991.000  N III 991.                     N  3 991.000A 0
993.354  Si II 993.354                  Si 2 993.354A 0
1001.73  P III 1001.73                  P  3 1001.73A 0
1007.34  S III 1007.34                  S  3 1007.34A 0
1011.29  Cl III 1011.29                 Cl 3 1011.29A 0
1020.18  C II 1020.18                   C  2 1020.18A 0
1024.03  Si II 1024.03                  Si 2 1024.03A 0
1025.72  H I (Ly-$\beta$) 1025.72       H  1 1025.72A 0
1033.06  Cr III 1033.06                 Cr 3 1033.06A 0
1035.74  Cr III 1035.74                 Cr 3 1035.74A 0
1036.80  C II 1036.8                    C  2 1036.80A 0
1040.08  Mg II 1040.08                  Mg 2 1040.08A 0
1071.32  Cl II 1071.32                  Cl 2 1071.32A 0
1084.94  He II 1084.94                  He 2 1084.94A 1
1085.00  N II 1085.                     Blnd 1085.00A 0
1086.27  S IV 1086.27                   S  4 1086.27A 0
1092.50  C II 1092.5                    C  2 1092.50A 0
1095.69  Ar I 1095.69                   Ar 1 1095.69A 0
1121.30  P 5 1121.3                     P  5 1121.30A 4
1131.12  N I 1131.12                    N  1 1131.12A 0
1140.10  C I 1140.1                     C  1 1140.10A 0
1154.42  P II 1154.42                   P  2 1154.42A 0
1175.99  C III 1175.99                  C  3 1175.99A 0
1179.59  Si II 1179.59                  Si 2 1179.59A 0
1194.45  S III 1194.45                  S  3 1194.45A 0
1198.85  Mn II 1198.85                  Mn 2 1198.85A 0
1200.00  N I 1200                       N  1 1200.00A 0
1206.50  Si III 1206.5                  Si 3 1206.50A 0
1215.13  He II 1215.13                  He 2 1215.13A 1
1215.67  H I (Ly-$\alpha$) 1215.67      H  1 1215.67A 0
1247.50  C I 1247.5                     C  1 1247.50A 0
1256.00  S II 1256                      Blnd 1256.00A 0
1257.64  Mg II 1257.64                  Mg 2 1257.64A 0
1264.74  Si II 1264.74                  Si 2 1264.74A 0
1309.28  Si II 1309.28                  Si 2 1309.28A 0
1307.68  P II 1307.68                   P  2 1307.68A 0
1314.77  C I 1314.77                    C  1 1314.77A 0
1324.11  Ni II 1324.11                  Ni 2 1324.11A 0
1335.00  C II 1335                      C  2 1335.00A 0
1341.17  P III 1341.17                  P  3 1341.17A 0
1357.00  O I 1357                       O  1 1357.00A 0
1375.73  Ni II 1375.73                  Ni 2 1375.73A 0
1393.75  Si IV 1393.75                  Si 4 1393.75A 0
1400.37  Ni II 1400.37                  Ni 2 1400.37A 0
1402.77  Si IV 1402.77                  Si 4 1402.77A 0
1406.02  S IV 1406.02                   S  4 1406.02A 0
1416.89  S IV 1416.89                   S  4 1416.89A 0
1472.74  Ni II 1472.74                  Ni 2 1472.74A 0
1484.97  Ni II 1484.97                  Ni 2 1484.97A 0
1486.50  N IV] 1486.5                   N  4 1486.50A 4
1533.43  Si II 1533.43                  Si 2 1533.43A 0
1548.19  C IV 1548.19                   C  4 1548.19A 2
1550.78  C IV 1550.78                   C  4 1550.78A 2
1561.33  C I 1561.33                    C  1 1561.33A 0
1577.10  C III 1577.1                   C  3 1577.10A 0
1640.43  He II 1640.43                  He 2 1640.43A 1
1656.27  C I 1656.27                    C  1 1656.27A 0
1660.81  O III] 1660.81                 O  3 1660.81A 2
1666.00  O III] 1666                    Blnd 1666.00A 2
1670.79  Al II 1670.79                  Al 2 1670.79A 0
1720.00  S III 1720                     Blnd 1720.00A 0
1742.00  N II 1742                      N  2 1742.00A 0
1744.24  Ni II 1744.24                  Ni 2 1744.24A 0
1748.65  N III] 1748.65                 N  3 1748.65A 0
1751.22  N III] 1751.22                 N  3 1751.22A 0
1751.83  Ni II 1751.83                  Ni 2 1751.83A 0
1752.16  N III] 1752.16                 N  3 1752.16A 0
1754.00  N III] 1754.                   N  3 1754.00A 0
1814.56  [Ne III] 1814.56               Ne 3 1814.56A 2
1816.93  Si II 1816.93                  Si 2 1816.93A 0
1828.00  C III 1828.                    C  3 1828.00A 0
1854.72  [Al III] 1854.72               Al 3 1854.72A 0
1862.79  [Al III] 1862.79               Al 3 1862.79A 0
1882.71  Si III] 1882.71                Si 3 1882.71A 0
1892.03  Si III] 1892.03                Si 3 1892.03A 0
1906.68  [C III] 1906.68                C  3 1906.68A 0
1908.73  C III] 1908.73                 C  3 1908.73A 0
2060.47  Cr II 2060.47                  Cr 2 2059.78A 0
2141.71  N II] 2141.71                  Blnd 2141.00A 0
2297.64  C III 2297.64                  C  3 2296.90A 0
2321.70  [O III] 2321.7                 O  3 2320.95A 2
2324.25  C II] 2324.25                  C  2 2323.50A 0
2325.44  C II] 2325.44                  C  2 2324.69A 0
2327.68  C II] 2327.68                  C  2 2326.93A 0
2328.87  C II] 2328.87                  C  2 2328.12A 0
2335.35  Si II] 2335.35                 Si 2 2334.60A 0
2344.95  Si II] 2344.95                 Si 2 2344.20A 0
2400.01  Fe II 2400.01                  Fe 2 2399.24A 0
2424.77  [Ne IV] 2424.77                Blnd 2424.00A 3
2471.79  [O II] 2471.79                 Blnd 2471.00A 0
